ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,RPL_THEMES,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,E_MINRTY,M_MINRTY,EP_MINRTY,MP_MINRTY,EPL_MINRTY,SPL_THEME3,RPL_THEME3,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL
39,Ohio,OH,39001,Adams,39001,"Adams County, Ohio",0.8966,583.8716552,27685,0,12940,63,10396,372,9087,882,735,215,2702,369,3310,443,2322,487,33.3,3.2,6.6,2,26,3.4,17.5,2.3,8.5,1.8,0.977,0.908,0.2299,0.977,0.8621,3.954,0.9885,4956,110,6630,57,5833,427,816,220,25,92,17.9,0.4,23.9,0.2,21.3,1.6,7.8,2.1,0.1,0.4,0.4138,0.8621,0.931,0.931,0.0345,3.1724,0.9425,1049,208,3.8,0.8,0.0575,0.0575,0.0575,80,42,2968,357,197,92,910,213,374,144,0.6,0.3,22.9,2.7,1.9,0.9,8.8,2,1.4,0.5,0,0.954,0.7931,0.8391,0.3563,2.9425,0.7356,10.1264,21997,6514,869,107,72,288,0,97,117,7,13,0,23,550,153,0,0,23.9,0.1,0.4,0.3,1,0,0.4,0.4,0,0.1,0,0.1,2,0.6,0,0.1,1,1,0,1,0,3,0,0,1,1,2,0,0,0,0,1,0,0,0,1,6
39,Ohio,OH,39003,Allen,39003,"Allen County, Ohio",0.8851,402.5450761,102808,0,45126,154,41025,495,22183,1458,2848,429,9554,668,6522,528,6583,832,22.5,1.5,5.6,0.8,23.3,1.6,9.4,0.8,6.6,0.8,0.5632,0.7011,0.7241,0.4138,0.6897,3.0919,0.7126,18159,124,23764,0,16773,854,3729,473,465,182,17.7,0.1,23.1,0,16.7,0.8,9.1,1.1,0.5,0.2,0.3563,0.6667,0.6667,1,0.5172,3.2069,0.9655,20505,765,19.9,0.7,0.8966,0.8966,0.8966,2624,349,1888,430,381,118,3439,460,3990,348,5.8,0.8,4.2,1,0.9,0.3,8.4,1.1,3.9,0.3,0.7471,0.2989,0.2184,0.8161,0.8046,2.8851,0.7011,10.0805,112034,11732,1136,11623,530,3403,0,851,118,107,90,0,29,4327,516,194,194,11.9,0,11.3,0.5,3.3,0,0.8,0.1,0.1,0.1,0,0.1,4.2,0.5,0.2,0.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
39,Ohio,OH,39005,Ashland,39005,"Ashland County, Ohio",0.5632,422.9866472,53533,0,22361,134,20504,274,11005,1190,1014,291,3980,438,3532,411,4202,849,21.5,2.3,3.8,1.1,19.4,2.1,9.9,1.1,7.9,1.6,0.4943,0.2069,0.4483,0.5402,0.8046,2.4943,0.4483,9954,79,12009,114,7261,581,961,219,407,264,18.6,0.1,22.4,0.2,13.7,1.1,4.7,1.1,0.8,0.5,0.5862,0.4713,0.2874,0.1724,0.8161,2.3334,0.3908,2523,235,4.7,0.4,0.1609,0.1609,0.1609,908,187,1225,201,392,147,1421,261,2249,295,4.1,0.8,5.5,0.9,1.9,0.7,6.9,1.3,4.2,0.6,0.5862,0.4368,0.7931,0.5862,0.8161,3.2184,0.8621,8.207,47852,7248,1024,453,117,768,0,353,68,16,17,0,29,869,178,64,64,14.1,0.1,0.8,0.2,1.4,0,0.7,0.1,0,0.1,0,0.1,1.6,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,OH,39007,Ashtabula,39007,"Ashtabula County, Ohio",1,702.0666543,97416,0,46224,144,38614,562,30387,1724,3141,389,10175,756,9490,762,9063,1743,32.3,1.8,7.2,0.9,26.4,1.9,13.9,1.1,9.6,1.8,0.9425,0.954,0.7356,0.8506,0.8966,4.3793,1,18686,150,21516,66,15499,842,2335,346,679,304,19.2,0.2,22.1,0.1,16.4,0.9,6,0.9,0.7,0.3,0.7126,0.3793,0.6322,0.5977,0.7471,3.0689,0.908,10634,543,10.9,0.6,0.6667,0.6667,0.6667,2405,359,3670,385,745,200,3626,429,3451,320,5.2,0.8,7.9,0.8,1.9,0.5,9.4,1.1,3.5,0.3,0.6782,0.6437,0.7931,0.8966,0.7471,3.7587,0.977,11.8736,85293,17321,1947,3387,348,4269,0,453,81,102,63,8,10,2296,366,119,119,18.4,0.1,3.5,0.4,4.4,0,0.5,0.1,0.1,0.1,0,0.1,2.4,0.4,0.1,0.2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
39,Ohio,OH,39009,Athens,39009,"Athens County, Ohio",0.7701,503.6437963,65945,0,26686,265,22539,459,21112,1321,1791,285,6856,584,3588,418,3991,535,37.4,2.3,5.8,0.9,30.4,2.5,9.6,1.1,6.1,0.8,1,0.7701,0.6322,0.4713,0.5862,3.4598,0.8161,8514,92,9575,58,10821,937,975,208,279,217,12.9,0.1,14.5,0.1,16.6,1.4,4.3,0.9,0.4,0.3,0.023,0,0.6437,0.1034,0.3448,1.1149,0.0115,6870,450,10.4,0.7,0.6092,0.6092,0.6092,2536,289,4013,480,366,141,1625,269,9531,635,9.5,1.1,15,1.8,1.6,0.6,7.2,1.2,14.5,1,0.8966,0.8391,0.6667,0.6667,0.9885,4.0576,1,9.2415,68123,9234,1438,1842,118,1280,0,1593,260,163,92,32,34,1910,302,50,50,16.4,0.2,2.8,0.2,1.9,0,2.4,0.4,0.2,0.1,0,0.1,2.9,0.5,0.1,0.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
39,Ohio,OH,39011,Auglaize,39011,"Auglaize County, Ohio",0.046,401.3878616,45709,0,20020,95,19000,251,5945,650,790,207,3074,352,2130,293,1645,285,13.2,1.4,3.3,0.9,16.2,1.8,6.9,0.9,3.6,0.6,0.069,0.1149,0.3333,0.1034,0.0115,0.6321,0.046,8346,62,11024,0,5269,435,1052,216,93,109,18.3,0.1,24.1,0,11.7,1,5.5,1.1,0.2,0.3,0.5172,0.8966,0.1034,0.4368,0.1149,2.0689,0.2069,2201,277,4.8,0.6,0.1724,0.1724,0.1724,644,178,844,225,249,88,862,187,551,113,3.2,0.9,4.2,1.1,1.3,0.5,4.5,1,1.2,0.2,0.4138,0.2989,0.4483,0.1839,0.2299,1.5748,0.1264,4.4482,43259,4045,480,347,82,792,0,127,57,30,29,2,4,750,233,153,153,9,0,0.8,0.2,1.7,0,0.3,0.1,0.1,0.1,0,0.1,1.6,0.5,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,OH,39013,Belmont,39013,"Belmont County, Ohio",0.4023,532.1263826,67424,0,32202,119,25772,559,12960,985,1720,290,4219,442,4477,432,3769,522,20.5,1.6,5.6,1,16.4,1.7,9,0.9,5.9,0.8,0.4368,0.7011,0.4943,0.4023,0.5402,2.5747,0.4943,14007,116,12700,23,10152,744,1281,252,109,116,20.8,0.2,18.8,0,16,1.2,5,1,0.2,0.2,0.8736,0.046,0.5862,0.2529,0.1149,1.8736,0.092,4990,373,7.4,0.6,0.4483,0.4483,0.4483,1255,224,2570,432,132,64,1649,252,4063,275,3.9,0.7,8,1.3,0.5,0.2,6.4,1,6,0.4,0.5517,0.6552,0.0115,0.4828,0.908,2.6092,0.5402,7.5058,60323,11198,1097,2332,232,702,0,378,77,102,83,14,23,1441,261,21,21,17.7,0.1,3.5,0.3,1,0,0.6,0.1,0.2,0.1,0,0.1,2.1,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
39,Ohio,OH,39015,Brown,39015,"Brown County, Ohio",0.4943,489.5432741,43508,62,20338,103,17811,402,10949,1232,881,185,4073,453,3712,458,2746,599,25.6,2.9,4.4,0.9,22.9,2.5,12.2,1.5,6.4,1.4,0.7356,0.3218,0.4598,0.7471,0.6552,2.9195,0.6552,8033,98,9923,68,7338,561,1031,244,62,105,18.5,0.2,22.8,0.2,17.1,1.3,5.8,1.4,0.2,0.3,0.5632,0.5517,0.7586,0.5517,0.1149,2.5401,0.5977,1656,149,3.8,0.3,0.0575,0.0575,0.0575,368,108,3113,341,274,123,1098,261,614,190,1.8,0.5,15.3,1.7,1.5,0.7,6.2,1.4,1.4,0.4,0.1379,0.8506,0.5747,0.4483,0.3563,2.3678,0.4368,7.8849,33105,6861,881,356,72,480,3,97,56,20,34,0,26,692,112,11,11,16,0.1,0.8,0.2,1.1,0.1,0.2,0.1,0,0.1,0,0.1,1.6,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,OH,39017,Butler,39017,"Butler County, Ohio",0.6437,466.5234636,382129,0,152589,236,140736,964,69016,3134,9603,1123,32948,1476,20673,1052,21039,1535,18.7,0.8,4.9,0.6,23.4,1,8.4,0.4,5.6,0.4,0.3218,0.5172,0.9195,0.3218,0.4368,2.5171,0.4713,56487,60,89687,94,45110,1768,9074,809,5111,703,14.8,0.1,23.5,0,11.9,0.5,6.4,0.6,1.4,0.2,0.069,0.7701,0.1149,0.7126,0.954,2.6206,0.6322,76876,1841,20.1,0.5,0.908,0.908,0.908,13682,912,3884,512,2116,330,7097,621,11527,603,9,0.6,2.5,0.3,1.5,0.2,5,0.4,3,0.2,0.8736,0.1839,0.5747,0.3103,0.6897,2.6322,0.5632,8.6779,370358,29185,2233,29140,962,18478,0,13079,561,291,160,64,98,14738,1354,1086,1086,7.9,0,7.6,0.3,4.8,0,3.4,0.1,0.1,0.1,0,0.1,3.9,0.4,0.3,0.1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3
39,Ohio,OH,39019,Carroll,39019,"Carroll County, Ohio",0.4138,394.6120394,27195,0,13627,77,11286,298,5616,808,461,151,1987,301,2174,376,3001,578,21,3,3.7,1.2,17.6,2.6,11.1,1.9,11.2,2.1,0.4483,0.1609,0.1149,0.6667,0.9655,2.3563,0.4138,5782,100,5592,159,4506,437,481,141,171,134,21.3,0.4,20.6,0.6,16.7,1.6,4.3,1.2,0.7,0.5,0.908,0.1609,0.6667,0.1034,0.7471,2.5861,0.6092,1123,273,4.1,1,0.1034,0.1034,0.1034,115,71,1777,280,177,100,868,242,454,179,0.8,0.5,13,2.1,1.6,0.9,7.7,2.2,1.7,0.7,0.0115,0.7816,0.6667,0.7586,0.4023,2.6207,0.5517,7.6665,19699,5288,750,275,167,360,0,25,41,0,23,0,23,463,210,0,0,19.8,0.1,1,0.6,1.3,0,0.1,0.1,0,0.1,0,0.1,1.7,0.8,0,0.1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
39,Ohio,OH,39021,Champaign,39021,"Champaign County, Ohio",0.2529,428.9892596,38861,0,16824,76,15407,254,6796,846,1115,235,2942,386,2377,324,1769,297,17.9,2.2,5.8,1.2,19.1,2.5,8.8,1.2,4.6,0.8,0.2759,0.7701,0.2874,0.3678,0.1379,1.8391,0.2874,7156,72,8670,45,6211,437,860,203,35,96,18.4,0.2,22.3,0.1,16.2,1.1,5.6,1.3,0.1,0.3,0.5402,0.4253,0.6207,0.4828,0.0345,2.1035,0.2184,2840,345,7.3,0.9,0.4368,0.4368,0.4368,412,106,1227,265,197,81,778,173,816,166,2.4,0.6,7.3,1.6,1.3,0.5,5,1.1,2.1,0.4,0.2874,0.6092,0.4483,0.3103,0.5172,2.1724,0.2989,6.5518,31216,3563,544,702,136,613,0,155,91,111,96,6,10,1155,260,98,98,9.4,0,1.8,0.4,1.6,0,0.4,0.2,0.3,0.2,0,0.1,3,0.7,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,OH,39023,Clark,39023,"Clark County, Ohio",0.9885,396.8771416,134409,0,61283,160,54862,627,33843,1687,4370,530,13384,720,10190,655,8711,1098,25.9,1.3,6.8,0.8,24.4,1.3,11.1,0.7,6.6,0.8,0.7586,0.9195,0.8046,0.6667,0.6897,3.8391,0.9425,26076,98,30212,0,22104,894,4127,507,894,278,19.4,0.1,22.5,0,16.7,0.7,7.5,0.9,0.7,0.2,0.7471,0.5057,0.6667,0.908,0.7471,3.5746,1,21851,621,16.3,0.5,0.8621,0.8621,0.8621,3456,361,2344,277,808,210,4153,492,3122,379,5.6,0.6,3.8,0.5,1.5,0.4,7.6,0.9,2.3,0.3,0.7356,0.2414,0.5747,0.7241,0.5747,2.8505,0.6437,11.1263,124328,13168,1156,11088,380,4757,0,694,163,143,104,16,23,5022,431,131,131,10,0,8.2,0.3,3.5,0,0.5,0.1,0.1,0.1,0,0.1,3.7,0.3,0.1,0.1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
39,Ohio,OH,39025,Clermont,39025,"Clermont County, Ohio",0.2184,452.5599678,205616,62,83638,140,79347,550,34296,2414,4549,516,17690,1109,14582,1153,11103,1238,16.9,1.2,4.2,0.5,22.3,1.4,10.2,0.8,5.4,0.6,0.1839,0.2759,0.8621,0.5977,0.3103,2.2299,0.3793,33587,222,47361,21,28882,1200,3901,508,333,157,16.3,0.1,23,0,14.1,0.6,4.9,0.6,0.2,0.1,0.1609,0.6092,0.3448,0.2299,0.1149,1.4597,0.0575,14511,813,7.1,0.4,0.4138,0.4138,0.4138,9519,744,4604,531,1197,295,3887,469,1863,338,11.4,0.9,5.5,0.6,1.5,0.4,4.9,0.6,0.9,0.2,0.9425,0.4368,0.5747,0.2874,0.046,2.2874,0.3908,6.3908,164633,19221,1656,2494,375,4154,2,2789,264,177,97,42,46,4280,466,575,575,9.4,0,1.2,0.2,2,0.1,1.4,0.1,0.1,0.1,0,0.1,2.1,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
39,Ohio,OH,39027,Clinton,39027,"Clinton County, Ohio",0.6552,408.7312436,42000,0,18205,115,16741,320,9952,1012,1167,334,3725,365,2810,366,2273,376,24.5,2.5,5.6,1.6,22.3,2.1,9.9,1.3,5.5,0.9,0.6552,0.7011,0.4023,0.5402,0.3678,2.6666,0.5172,7113,73,9706,10,6999,566,1147,244,169,128,16.9,0.2,23.1,0,16.8,1.4,6.9,1.5,0.4,0.3,0.2184,0.6667,0.7011,0.8161,0.3448,2.7471,0.7471,2887,327,6.9,0.8,0.3793,0.3793,0.3793,809,201,1182,194,287,101,868,184,1258,269,4.4,1.1,6.5,1.1,1.7,0.6,5.2,1.1,3,0.6,0.6207,0.5632,0.7126,0.3333,0.6897,2.9195,0.7241,8.7125,45537,4645,629,792,226,708,0,262,45,3,8,8,14,1076,226,38,38,11.4,0.1,1.9,0.5,1.7,0,0.6,0.1,0,0.1,0,0.1,2.6,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,OH,39029,Columbiana,39029,"Columbiana County, Ohio",0.8046,531.916691,102514,0,46800,203,41632,529,22752,1642,2901,401,8500,735,7946,696,6344,975,23.1,1.7,6,0.8,20.4,1.7,10.8,0.9,6.4,1,0.5977,0.8391,0.6897,0.6437,0.6552,3.4254,0.7931,20808,96,20819,61,16385,1123,2309,366,283,194,20.3,0.1,20.3,0.1,16.6,1.1,5.5,0.9,0.3,0.2,0.8391,0.1034,0.6437,0.4368,0.2759,2.2989,0.3678,6729,348,6.6,0.3,0.3563,0.3563,0.3563,1631,275,3975,469,701,283,2924,437,3938,447,3.5,0.6,8.5,1,1.7,0.7,7,1,3.8,0.4,0.5057,0.6782,0.7126,0.6207,0.7931,3.3103,0.9195,9.3909,87552,14979,1494,2196,184,1923,0,228,68,72,52,9,15,2272,276,29,29,15.2,0.1,2.1,0.2,1.9,0,0.2,0.1,0.1,0.1,0,0.1,2.2,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,OH,39031,Coshocton,39031,"Coshocton County, Ohio",0.8736,563.9876633,36558,0,16441,49,14579,278,10156,1135,1022,292,3016,410,3662,441,3852,734,28.2,3.2,6.1,1.8,20.7,2.8,14.4,1.7,10.7,2,0.8736,0.8621,0.3218,0.8966,0.954,3.9081,0.9655,7040,76,8565,65,5725,510,865,195,139,108,19.3,0.2,23.4,0.2,15.8,1.4,5.9,1.3,0.4,0.3,0.7241,0.7471,0.5287,0.5862,0.3448,2.9309,0.8736,1546,171,4.2,0.5,0.1264,0.1264,0.1264,305,108,2345,263,305,103,1391,224,456,100,1.9,0.7,14.3,1.6,2.1,0.7,9.5,1.5,1.2,0.3,0.1609,0.8276,0.9195,0.9195,0.2299,3.0574,0.8161,10.0228,32185,7962,963,447,87,410,0,121,49,67,34,0,26,482,117,19,19,22.1,0.1,1.2,0.2,1.1,0,0.3,0.1,0.2,0.1,0,0.1,1.3,0.3,0.1,0.1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3
39,Ohio,OH,39033,Crawford,39033,"Crawford County, Ohio",0.4368,401.7853289,41603,0,20019,97,17928,281,10276,1072,1085,234,3900,462,2806,377,2347,331,25.3,2.6,5.5,1.2,21.8,2.6,9.6,1.3,5.7,0.8,0.7241,0.6782,0.4253,0.4713,0.4713,2.7702,0.5977,8596,48,9079,59,7117,536,1325,222,148,142,20.7,0.1,21.8,0.1,17.3,1.3,7.4,1.2,0.4,0.4,0.8621,0.3103,0.7816,0.8966,0.3448,3.1954,0.954,2114,229,5.1,0.6,0.2299,0.2299,0.2299,578,142,787,170,124,74,1171,232,550,158,2.9,0.7,3.9,0.9,0.7,0.4,6.5,1.3,1.3,0.4,0.3678,0.2529,0.0575,0.5172,0.2874,1.4828,0.092,7.6783,36725,4965,503,474,110,703,0,273,47,61,32,25,39,566,182,12,12,12.1,0,1.1,0.3,1.7,0,0.7,0.1,0.1,0.1,0.1,0.1,1.4,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,OH,39035,Cuyahoga,39035,"Cuyahoga County, Ohio",0.931,457.2103999,1241475,0,617795,627,547887,1989,315000,6092,47781,2114,161385,2923,83088,2042,66381,2434,25.9,0.5,7.4,0.3,29.5,0.5,9.5,0.2,5.4,0.2,0.7586,0.977,1,0.4368,0.3103,3.4827,0.8276,225523,13,257707,38,180863,2925,44379,1628,22005,1381,18.2,0.1,20.8,0,14.7,0.2,8.1,0.3,1.9,0.1,0.4943,0.1954,0.4138,0.954,0.9885,3.046,0.8966,518451,3524,41.8,0.3,1,1,1,117223,2301,3461,360,6592,675,70406,2001,28713,1318,19,0.4,0.6,0.1,1.2,0.1,12.9,0.4,2.3,0.1,1,0,0.4138,0.9885,0.5747,2.977,0.7586,10.5057,1424540,165596,4741,360309,1693,76316,0,38081,891,1594,206,262,63,35701,1824,6188,6188,13.7,0,29,0.1,6.1,0,3.1,0.1,0.1,0.1,0,0.1,2.9,0.1,0.5,0.1,0,1,1,0,0,2,0,0,0,1,2,1,1,1,1,0,0,1,0,2,7
39,Ohio,OH,39037,Darke,39037,"Darke County, Ohio",0.1264,598.1019344,51387,0,22975,95,21171,242,11039,990,697,179,3863,473,3390,401,3065,389,21.8,2,2.7,0.7,18.2,2.2,9.6,1.1,6,0.8,0.5172,0.0345,0.4138,0.4713,0.5632,2,0.3333,10013,69,12185,59,6965,557,1092,218,81,115,19.5,0.1,23.7,0.1,13.7,1.1,5.2,1,0.2,0.2,0.7816,0.8391,0.2874,0.2759,0.1149,2.2989,0.3678,2086,235,4.1,0.5,0.1034,0.1034,0.1034,459,150,1037,198,246,89,963,194,590,190,2,0.7,4.5,0.9,1.2,0.4,4.5,0.9,1.1,0.4,0.1954,0.3448,0.4138,0.1839,0.1264,1.2643,0.069,5.6666,44214,6907,641,373,85,818,0,183,112,123,34,0,29,589,138,0,0,13.6,0.1,0.7,0.2,1.6,0,0.4,0.2,0.2,0.1,0,0.1,1.1,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,OH,39039,Defiance,39039,"Defiance County, Ohio",0.3908,411.4495531,38024,0,16805,85,15385,268,6519,967,879,212,2674,354,2079,285,2437,659,17.5,2.6,4.4,1.1,17.4,2.3,8,1.1,6.5,1.7,0.2414,0.3218,0.2184,0.2644,0.6782,1.7242,0.2069,7079,56,8711,23,4511,468,1126,234,265,145,18.6,0.1,22.9,0.1,11.9,1.2,7.3,1.5,0.7,0.4,0.5862,0.5862,0.1149,0.8736,0.7471,2.908,0.8621,5281,199,13.9,0.5,0.7816,0.7816,0.7816,614,156,778,170,160,83,798,189,593,195,3.7,0.9,4.6,1,1,0.5,5.2,1.2,1.6,0.5,0.5402,0.3793,0.3333,0.3333,0.3793,1.9654,0.2414,7.3792,36253,5002,860,544,100,3898,0,110,37,114,47,24,23,575,120,16,16,13.4,0.1,1.4,0.3,10.3,0,0.3,0.1,0.3,0.1,0.1,0.1,1.5,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
